ÝLÇE;ALAN;OKUL ADI;2022;2023;2024;2025 Tahmin
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Uluslararasý Prof.Dr.Muhammed Hamidullah Anadolu Ýmam Hatip Lisesi;26.05;25.34;26.89;
MAMAK (MERKEZ);SAÐLIK HÝZMETLERÝ ALANI;Prof. Dr. Raðýp Üner Mesleki ve Teknik Anadolu Lisesi;27.3;27.02;27.77;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Batýkent Þehit Demet Sezen Kýz Anadolu Ýmam Hatip Lisesi;20.39;17.99;28.01;
YENÝMAHALLE (MERKEZ);BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI (SINAVLI);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;28.63;
POLATLI;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;Polatlý Mesleki ve Teknik Anadolu Lisesi;35.29;34.65;31.29;
SÝNCAN (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Sincan Anadolu Ýmam Hatip Lisesi;29.71;31.91;31.58;
YENÝMAHALLE (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;Ostim Þehit Alper Zor Mesleki ve Teknik Anadolu Lisesi;40.81;35.24;31.88;
KEÇÝÖREN (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Kanuni Mesleki ve Teknik Anadolu Lisesi;34.74;30.96;31.89;
KIZILCAHAMAM;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Bizim Anadolu Vakfý Gürcan Kýz Anadolu Ýmam Hatip Lisesi;0;0;32.01;
SÝNCAN (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;Þehit Özgür Can Ýnce Mesleki ve Teknik Anadolu Lisesi;41.24;38.2;33.42;
ÇANKAYA (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Özel Harekat Þehitleri Anadolu Ýmam Hatip Lisesi;53.26;41.14;33.87;
KEÇÝÖREN (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Keçiören Anadolu Ýmam Hatip Lisesi;34.85;36.46;34.52;
GÖLBAÞI;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Uluslararasý Millî Ýrade Kýz Anadolu Ýmam Hatip Lisesi;66.01;42.89;34.89;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Demetevler Kýz Anadolu Ýmam Hatip Lisesi;26.32;33.95;34.99;
KEÇÝÖREN (MERKEZ);BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;Keçiören Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;38.06;34.97;35.18;
SÝNCAN (MERKEZ);MOTORLU ARAÇLAR TEKNOLOJÝSÝ ALANI;Þehit Özgür Can Ýnce Mesleki ve Teknik Anadolu Lisesi;41.24;38.2;35.98;
ÇUBUK;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi;48.89;47.5;37.17;
