İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Teknik.Bilşm),13.05,11.88,11.95,,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Şehit Cengiz Polat Anadolu İmam Hatip Lisesi,14.23,11.26,12.35,,FEN VE TEKNOLOJİ PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi
KEÇİÖREN (MERKEZ),Keçiören Sosyal Bilimler Lisesi,11.08,12.34,12.94,,SOSYAL BİLİMLER ,Sosyal Bilimler Lisesi
ÇANKAYA (MERKEZ),Hasan Ali Yücel Sosyal Bilimler Lisesi,13.06,13.12,12.98,,SOSYAL BİLİMLER ,Sosyal Bilimler Lisesi
ALTINDAĞ (MERKEZ),Piri Reis Anadolu Lisesi,15.8,13.77,13.11,,ANADOLU LİSESİ,Anadolu Lisesi
MAMAK (MERKEZ),Başkent Anadolu Lisesi,13.46,13.66,13.32,,ANADOLU LİSESİ,Anadolu Lisesi
YENİMAHALLE (MERKEZ),Gazi Mesleki ve Teknik Anadolu Lisesi (Uçak),14.1,14.02,13.97,,UÇAK BAKIM ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Elektrik),0.0,16.99,14.11,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı
YENİMAHALLE (MERKEZ),Gazi Mesleki ve Teknik Anadolu Lisesi (Bilişim),13.66,13.44,14.13,,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Bilşm),0.0,16.91,14.38,,BİLİŞİM TEKNOLOJİLERİ ALANI (SINAVLI),Anadolu Meslek Programı
YENİMAHALLE (MERKEZ),Batıkent Şehit Demet Sezen Kız Anadolu İmam Hatip Lisesi,20.39,17.99,14.46,,FEN VE SOSYAL BİLİMLER PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi
ŞEREFLİKOÇHİSAR,Yavuz Sultan Selim Fen Lisesi,14.78,14.87,15.15,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
YENİMAHALLE (MERKEZ),Gazi Mesleki ve Teknik Anadolu Lisesi (Motor),18.45,16.98,15.37,,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ETİMESGUT (MERKEZ),Sezai Karakoç Anadolu Lisesi,15.99,15.46,15.97,,ANADOLU LİSESİ,Anadolu Lisesi
YENİMAHALLE (MERKEZ),Tevfik İleri Anadolu İmam Hatip Lisesi (Hafızlık),18.88,21.39,15.99,,HAFIZLIK PROJESİ (Fen ve Sosyal Bilimler Programı),Anadolu İmam Hatip Lisesi
KEÇİÖREN (MERKEZ),Atatürk Anadolu İmam Hatip Lisesi,19.03,17.99,16.1,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ALTINDAĞ (MERKEZ),Sabahattin Zaim Sosyal Bilimler Lisesi,17.94,18.82,16.63,,SOSYAL BİLİMLER ,Sosyal Bilimler Lisesi
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Mak),0.0,18.15,16.64,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı
POLATLI,Polatlı Anadolu Lisesi,18.33,17.13,16.97,,ANADOLU LİSESİ,Anadolu Lisesi
ÇUBUK,Şehit Ömer Takdemir Anadolu İmam Hatip Lisesi,18.7,20.27,17.71,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ETİMESGUT (MERKEZ),Elvanköy Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,18.87,18.15,18.3,,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
KALECİK,Mehmet Doğan Fen Lisesi,16.49,16.61,18.48,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
ÇANKAYA (MERKEZ),Ümitköy Kız Anadolu İmam Hatip Lisesi,40.88,38.16,18.68,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
NALLIHAN,Bilal Güngör Fen Lisesi,18.48,18.61,18.97,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
YENİMAHALLE (MERKEZ),Yenimahalle Şehit Mehmet Şengül Mesleki ve Teknik Anadolu Lisesi (Bilişim),21.41,19.96,19.45,,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
ALTINDAĞ (MERKEZ),Altındağ Anadolu İmam Hatip Lisesi,20.68,20.33,19.79,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
