ÝLÇE;OKUL ADI;2022 Yüzdelik;2023 Yüzdelik;2024 Yüzdelik;2025 Tahmin ;TÜR;ALAN;;;;;;;;
ALTINDAÐ (MERKEZ);Sabahattin Zaim Sosyal Bilimler Lisesi;17.94;18.82;16.63;;Sosyal Bilimler Lisesi;SOSYAL BÝLÝMLER ;;;;;;;;
YENÝMAHALLE (MERKEZ);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Mak);0;18.15;16.64;;Anadolu Meslek Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI (SINAVLI);;;;;;;;
POLATLI;Polatlý Anadolu Lisesi;18.33;17.13;16.97;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇUBUK;Þehit Ömer Takdemir Anadolu Ýmam Hatip Lisesi;18.7;20.27;17.71;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ETÝMESGUT (MERKEZ);Elvanköy Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;18.87;18.15;18.3;;Anadolu Teknik Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;;;;;;;;
KALECÝK;Mehmet Doðan Fen Lisesi;16.49;16.61;18.48;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
ÇANKAYA (MERKEZ);Ümitköy Kýz Anadolu Ýmam Hatip Lisesi;40.88;38.16;18.68;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
NALLIHAN;Bilal Güngör Fen Lisesi;18.48;18.61;18.97;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Þehit Mehmet Þengül Mesleki ve Teknik Anadolu Lisesi (Biliþim);21.41;19.96;19.45;;Anadolu Teknik Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Altýndað Anadolu Ýmam Hatip Lisesi;20.68;20.33;19.79;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Þehit Mehmet Þengül Mesleki ve Teknik Anadolu Lisesi (Elekt.);26.03;22.25;19.85;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
ÇUBUK;Çubuk Yýldýrým Beyazýt Anadolu Lisesi;20.7;21.79;19.9;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇANKAYA (MERKEZ);Ümitköy Anadolu Ýmam Hatip Lisesi;37.25;22.73;19.94;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
SÝNCAN (MERKEZ);Fatih Mesleki ve Teknik Anadolu Lisesi;26.53;23.18;20.4;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
KEÇÝÖREN (MERKEZ);Keçiören Ýbn-i Sina Mesleki ve Teknik Anadolu Lisesi;18.97;21.13;20.99;;Anadolu Teknik Programý;SAÐLIK HÝZMETLERÝ ALANI;;;;;;;;
KEÇÝÖREN (MERKEZ);Þehit Ahmet Özsoy Kýz Anadolu Ýmam Hatip Lisesi;25.82;21.24;21.19;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Þehit Mehmet Þengül Mesleki ve Teknik Anadolu Lisesi (Makine);32.54;25.79;21.35;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
PURSAKLAR;Pursaklar Anadolu Ýmam Hatip Lisesi;24.52;23.32;21.45;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ALTINDAÐ (MERKEZ);Ankara Kýz Anadolu Ýmam Hatip Lisesi;32.31;25.92;22.58;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
GÜDÜL;Hasan Hüseyin Akdede Fen Lisesi;21.2;21.6;23.14;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
AKYURT;Yýldýrým Beyazýt Anadolu Lisesi;23.47;25.64;23.21;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
GÖLBAÞI;Þehit Sebahattin Koçak Kýz Anadolu Ýmam Hatip Lisesi;49.14;42.97;23.34;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
MAMAK (MERKEZ);Mamak Anadolu Ýmam Hatip Lisesi;28.49;25.62;24.03;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ELMADAÐ;Gazi Þahin Anadolu Lisesi;25.77;24.13;25.6;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
KEÇÝÖREN (MERKEZ);Mustafa Asým Köksal Anadolu Ýmam Hatip Lisesi;33.09;30.45;26;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Þehit Murat Üçöz Mesleki ve Teknik Anadolu Lisesi;0;26.43;26.15;;Anadolu Teknik Programý;YENÝLENEBÝLÝR ENERJÝ TEKNOLOJÝLERÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Plastk);0;27.21;26.54;;Anadolu Meslek Programý;PLASTÝK TEKNOLOJÝSÝ ALANI (SINAVLI);;;;;;;;
YENÝMAHALLE (MERKEZ);Uluslararasý Prof.Dr.Muhammed Hamidullah Anadolu Ýmam Hatip Lisesi;26.05;25.34;26.89;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
MAMAK (MERKEZ);Prof. Dr. Raðýp Üner Mesleki ve Teknik Anadolu Lisesi;27.3;27.02;27.77;;Anadolu Teknik Programý;SAÐLIK HÝZMETLERÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Batýkent Þehit Demet Sezen Kýz Anadolu Ýmam Hatip Lisesi;20.39;17.99;28.01;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;28.63;;Anadolu Meslek Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI (SINAVLI);;;;;;;;
POLATLI;Polatlý Mesleki ve Teknik Anadolu Lisesi;35.29;34.65;31.29;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
